identificador;clase;cu;canton
9887108;CAMIONETA;1.4;21701
9889730;CAMIONETA;1.4;21701
9943868;CAMIONETA;1.4;21701
9964592;CAMIONETA;1.4;21701
10028675;CAMIONETA;1.4;21701
10055628;CAMIONETA;1.4;21701
10067432;CAMIONETA;1.4;21701
10085558;CAMIONETA;1.4;21701
10085591;CAMIONETA;1.4;21701
10086642;CAMIONETA;1.4;21701
10095813;CAMIONETA;1.4;21701
10143770;CAMIONETA;1.4;21701
10158584;CAMIONETA;1.4;21701
10171634;CAMIONETA;1.4;21701
10178109;CAMIONETA;1.4;21701
10178124;CAMIONETA;1.4;21701
10189854;CAMIONETA;1.4;21701
10206873;CAMIONETA;1.4;21701
10207145;CAMIONETA;1.4;21701
10216128;CAMIONETA;1.4;21701
10216130;CAMIONETA;1.4;21701
10255715;CAMIONETA;1.4;21701
10270641;CAMIONETA;1.4;21701
10277057;CAMIONETA;1.4;21701
10277067;CAMIONETA;1.4;21701
10277079;CAMIONETA;1.4;21701
10277138;CAMIONETA;1.4;21701
10277166;CAMIONETA;1.4;21701
10278015;CAMIONETA;1.4;21701
10278033;CAMIONETA;1.4;21701
10278087;CAMIONETA;1.4;21701
10278273;CAMIONETA;1.4;21701
10278276;CAMIONETA;1.4;21701
10279575;CAMIONETA;1.4;21701
10283288;CAMIONETA;1.4;21701
10287293;CAMIONETA;1.4;21701
10301945;CAMIONETA;1.4;21701
10307565;CAMIONETA;1.4;21701
10307738;CAMIONETA;1.4;21701
10315539;CAMIONETA;1.4;21701
10324619;CAMIONETA;1.4;21701
10327800;CAMIONETA;1.4;21701
10330934;CAMIONETA;1.4;21701
10336409;CAMIONETA;1.4;21701
10338747;CAMIONETA;1.4;21701
10338789;CAMIONETA;1.4;21701
10345871;CAMIONETA;1.4;21701
10345901;CAMIONETA;1.4;21701
10350762;CAMIONETA;1.4;21701
10370111;CAMIONETA;1.4;21701
10371564;CAMIONETA;1.4;21701
10371611;CAMIONETA;1.4;21701
10371749;CAMIONETA;1.4;21701
10380183;CAMIONETA;1.4;21701
10380849;CAMIONETA;1.4;21701
10383839;CAMIONETA;1.4;21701
10383864;CAMIONETA;1.4;21701
10383876;CAMIONETA;1.4;21701
10389312;CAMIONETA;1.4;21701
10396737;CAMIONETA;1.4;21701
10396745;CAMIONETA;1.4;21701
10396802;CAMIONETA;1.4;21701
10399992;CAMIONETA;1.4;21701
10400232;CAMIONETA;1.4;21701
10400234;CAMIONETA;1.4;21701
10400501;CAMIONETA;1.4;21701
10402178;CAMIONETA;1.4;21701
10402848;CAMIONETA;1.4;21701
10402913;CAMIONETA;1.4;21701
10402986;CAMIONETA;1.4;21701
10423847;CAMIONETA;1.4;21701
10423907;CAMIONETA;1.4;21701
10423908;CAMIONETA;1.4;21701
10437105;CAMIONETA;1.4;21701
10437132;CAMIONETA;1.4;21701
10437335;CAMIONETA;1.4;21701
10440828;CAMIONETA;1.4;21701
10440962;CAMIONETA;1.4;21701
10461551;CAMIONETA;1.4;21701
10461597;CAMIONETA;1.4;21701
10462415;CAMIONETA;1.4;21701
10463013;CAMIONETA;1.4;21701
10463024;CAMIONETA;1.4;21701
10463027;CAMIONETA;1.4;21701
10463052;CAMIONETA;1.4;21701
10463124;CAMIONETA;1.4;21701
10467269;CAMIONETA;1.4;21701
10467288;CAMIONETA;1.4;21701
10467293;CAMIONETA;1.4;21701
10477508;CAMIONETA;1.4;21701
10477824;CAMIONETA;1.4;21701
10477856;CAMIONETA;1.4;21701
10477857;CAMIONETA;1.4;21701
10477859;CAMIONETA;1.4;21701
10477869;CAMIONETA;1.4;21701
10477881;CAMIONETA;1.4;21701
10477892;CAMIONETA;1.4;21701
10477895;CAMIONETA;1.4;21701
10477925;CAMIONETA;1.4;21701
10477943;CAMIONETA;1.4;21701
10477944;CAMIONETA;1.4;21701
10477949;CAMIONETA;1.4;21701
10478819;CAMIONETA;1.4;21701
10483839;CAMIONETA;1.4;21701
10483856;CAMIONETA;1.4;21701
10486320;CAMIONETA;1.4;21701
10488041;CAMIONETA;1.4;21701
10488078;CAMIONETA;1.4;21701
10488093;CAMIONETA;1.4;21701
10488095;CAMIONETA;1.4;21701
10491266;CAMIONETA;1.4;21701
10496882;CAMIONETA;1.4;21701
10496892;CAMIONETA;1.4;21701
10496933;CAMIONETA;1.4;21701
10500311;CAMIONETA;1.4;21701
10500315;CAMIONETA;1.4;21701
10500369;CAMIONETA;1.4;21701
10500378;CAMIONETA;1.4;21701
10500387;CAMIONETA;1.4;21701
10500390;CAMIONETA;1.4;21701
10500399;CAMIONETA;1.4;21701
10500407;CAMIONETA;1.4;21701
10500411;CAMIONETA;1.4;21701
10500419;CAMIONETA;1.4;21701
10500420;CAMIONETA;1.4;21701
10500431;CAMIONETA;1.4;21701
10500470;CAMIONETA;1.4;21701
10501337;CAMIONETA;1.4;21701
10501434;CAMIONETA;1.4;21701
10501509;CAMIONETA;1.4;21701
10501526;CAMIONETA;1.4;21701
10501553;CAMIONETA;1.4;21701
10502771;CAMIONETA;1.4;21701
10505436;CAMIONETA;1.4;21701
10508811;CAMIONETA;1.4;21701
10508834;CAMIONETA;1.4;21701
10508858;CAMIONETA;1.4;21701
10511660;CAMIONETA;1.4;21701
10516958;CAMIONETA;1.4;21701
10518092;CAMIONETA;1.4;21701
10518480;CAMIONETA;1.4;21701
10518560;CAMIONETA;1.4;21701
10519211;CAMIONETA;1.4;21701
10519217;CAMIONETA;1.4;21701
10519544;CAMIONETA;1.4;21701
10519682;CAMIONETA;1.4;21701
10520415;CAMIONETA;1.4;21701
10520727;CAMIONETA;1.4;21701
10520735;CAMIONETA;1.4;21701
10521881;CAMIONETA;1.4;21701
10524611;CAMIONETA;1.4;21701
10524684;CAMIONETA;1.4;21701
10524705;CAMIONETA;1.4;21701
10524714;CAMIONETA;1.4;21701
10524755;CAMIONETA;1.4;21701
10524756;CAMIONETA;1.4;21701
10524768;CAMIONETA;1.4;21701
10524786;CAMIONETA;1.4;21701
10525722;CAMIONETA;1.4;21701
10525724;CAMIONETA;1.4;21701
10525730;CAMIONETA;1.4;21701
10525731;CAMIONETA;1.4;21701
10528283;CAMIONETA;1.4;21701
10528290;CAMIONETA;1.4;21701
10528299;CAMIONETA;1.4;21701
10530488;CAMIONETA;1.4;21701
10530491;CAMIONETA;1.4;21701
10530500;CAMIONETA;1.4;21701
10534559;CAMIONETA;1.4;21701
10536068;CAMIONETA;1.4;21701
10539582;CAMIONETA;1.4;21701
10539614;CAMIONETA;1.4;21701
10541291;CAMIONETA;1.4;21701
10543181;CAMIONETA;1.4;21701
10544472;CAMIONETA;1.4;21701
10544483;CAMIONETA;1.4;21701
10544513;CAMIONETA;1.4;21701
10544816;CAMIONETA;1.4;21701
10544817;CAMIONETA;1.4;21701
10544819;CAMIONETA;1.4;21701
10545197;CAMIONETA;1.4;21701
10545276;CAMIONETA;1.4;21701
10545291;CAMIONETA;1.4;21701
10545294;CAMIONETA;1.4;21701
10545339;CAMIONETA;1.4;21701
